2020-05-05T19:34:19.406+0530 |[Forwarding newSession on session null to remote]| DEBUG | headers | http-outgoing-0 << Content-Type:application/json; charset=utf-8
2020-05-05T19:34:19.413+0530 |[Forwarding newSession on session null to remote]| DEBUG | MainClientExec | Connection can be kept alive indefinitely
2020-05-05T19:34:19.420+0530 |[Forwarding newSession on session null to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection [id: 0][route: {}->http://localhost:6328] can be kept alive indefinitely
2020-05-05T19:34:19.420+0530 |[Forwarding newSession on session null to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection released: [id: 0][route: {}->http://localhost:6328][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:19.433+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | RequestAddCookies | CookieSpec selected: default
2020-05-05T19:34:19.434+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | RequestAuthCache | Auth cache not set in the context
2020-05-05T19:34:19.434+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection request: [route: {}->http://localhost:6328][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:19.434+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection leased: [id: 0][route: {}->http://localhost:6328][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:19.434+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Stale connection check
2020-05-05T19:34:19.535+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "[read] I/O error: Read timed out"
2020-05-05T19:34:19.536+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | DefaultManagedHttpClientConnection | http-outgoing-0: set socket timeout to 10800000
2020-05-05T19:34:19.536+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Executing request POST /session/267c4e8519d88a79111d7f4e9694f899/url HTTP/1.1
2020-05-05T19:34:19.537+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Target auth state: UNCHALLENGED
2020-05-05T19:34:19.537+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Proxy auth state: UNCHALLENGED
2020-05-05T19:34:19.538+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> POST /session/267c4e8519d88a79111d7f4e9694f899/url HTTP/1.1
2020-05-05T19:34:19.538+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Content-Type: application/json; charset=utf-8
2020-05-05T19:34:19.539+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Content-Length: 44
2020-05-05T19:34:19.542+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Host: localhost:6328
2020-05-05T19:34:19.542+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Connection: Keep-Alive
2020-05-05T19:34:19.543+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_201)
2020-05-05T19:34:19.543+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 >> Accept-Encoding: gzip,deflate
2020-05-05T19:34:19.548+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "POST /session/267c4e8519d88a79111d7f4e9694f899/url HTTP/1.1[\r][\n]"
2020-05-05T19:34:19.548+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2020-05-05T19:34:19.549+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Content-Length: 44[\r][\n]"
2020-05-05T19:34:19.549+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Host: localhost:6328[\r][\n]"
2020-05-05T19:34:19.550+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
2020-05-05T19:34:19.550+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0_201)[\r][\n]"
2020-05-05T19:34:19.550+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2020-05-05T19:34:19.551+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "[\r][\n]"
2020-05-05T19:34:19.551+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 >> "{"url":"http://the-internet.herokuapp.com/"}"
2020-05-05T19:34:27.394+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
2020-05-05T19:34:27.394+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "Content-Length:72[\r][\n]"
2020-05-05T19:34:27.394+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]"
2020-05-05T19:34:27.395+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "[\r][\n]"
2020-05-05T19:34:27.396+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | wire | http-outgoing-0 << "{"sessionId":"267c4e8519d88a79111d7f4e9694f899","status":0,"value":null}"
2020-05-05T19:34:27.396+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 << HTTP/1.1 200 OK
2020-05-05T19:34:27.396+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 << Content-Length:72
2020-05-05T19:34:27.397+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | headers | http-outgoing-0 << Content-Type:application/json; charset=utf-8
2020-05-05T19:34:27.397+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | MainClientExec | Connection can be kept alive indefinitely
2020-05-05T19:34:27.400+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection [id: 0][route: {}->http://localhost:6328] can be kept alive indefinitely
2020-05-05T19:34:27.401+0530 |[Forwarding get on session 267c4e8519d88a79111d7f4e9694f899 to remote]| DEBUG | PoolingHttpClientConnectionManager | Connection released: [id: 0][route: {}->http://localhost:6328][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
2020-05-05T19:34:27.402+0530 |[main]| INFO | Log4jXml | Opening Home Page
